course_id,level,latest_offering,college_desc,department_desc,title_long_desc,course_text_narrative,n_unique,n_department,row_number
AHS 007,Undergraduate,202340,"Humanities, Arts, and Soc Sci",Art History,"WORLD ART: IMAGES, ISSUES, AND IDEAS","4 Units, Lecture, 3 hours; discussion, 1 hour; extra reading, 2 hours. An introduction to artistic achievements of the world's cultures and ways in which they can be viewed. Considers such issues as the use of artworks as historical documents; connections between ""high art"" and popular culture; and the relationship between artist, viewer, artistic tradition, and society.    ",1,1,1
AHS 008,Undergraduate,202340,"Humanities, Arts, and Soc Sci",Art History,MODERN WESTERN VISUAL CULTURE,"4 Units, Lecture, 3 hours; discussion, 1 hour; extra reading, 2 hours. Prerequisite(s): none.  Focuses on broadly defined cultural practices in relation to painting, photography, video, architecture, and film.  Introduces historical, aesthetic, and theoretical issues in twentieth-century visual culture, emphasizing political and social themes relevant to contemporary life.",1,1,2
AHS 010S,Undergraduate,202310,"Humanities, Arts, and Soc Sci",Art History,TOPICS IN ART AND ARCHITECTURAL HISTORY,"5 Units, Lecture, 3 hours; discussion, 1 hour; individual study, 3 hours. Prerequisite(s): none. Explores significant themes and topics from the history of art and architecture around the world. Concentrates on particular subtopics to be announced in the Schedule of Classes. Course is repeatable as topics change to a maximum of 24 units. Credit is awarded for only one of AHS 010 or AHS 010S as topics change.",1,1,3
AHS 013,Undergraduate,202420,"Humanities, Arts, and Soc Sci",Art History,ARTS AND ARCHITECTURE OF THE ISLAMIC WORLD,"4 Units, Lecture, 3 hours; discussion, 1 hour; outside research, 2 hours. Prerequisite(s): none. A survey of the major monuments and themes of the visual arts in the Middle East, North Africa, South Asia, and Spain, from the rise of Islam to present day.",1,1,4
AHS 015,Undergraduate,202420,"Humanities, Arts, and Soc Sci",Art History,ARTS OF ASIA,"4 Units, Lecture, 3 hours; discussion, 1 hour; outside research, 2 hours. Prerequisite(s): none. A survey of the major monuments and themes of the visual arts of India, China, and Japan. Topics include recent archaeological discoveries, Buddhist art, Hindu sculpture and architecture, Zen in art, and the development of Asian pictorial art.",1,1,5
AHS 017A,Undergraduate,202410,"Humanities, Arts, and Soc Sci",Art History,HISTORY OF WESTERN ART: PREHISTORIC TO BYZANTINE,"4 Units, Lecture, 3 hours; discussion, 1 hour; extra reading, 2 hours. Prerequisite(s): none. A survey of the visual arts of the ancient Near East and Egypt, the Greek world, and the Roman and Byzantine empires. Topics include the growth of urbanism, art as an expression of religious and political beliefs, and cultural contact as a source of artistic change. Credit is awarded for only one of AHS 017A or AHS 17HA.",1,1,6
AHS 017B,Undergraduate,202420,"Humanities, Arts, and Soc Sci",Art History,HISTORY OF WESTERN ART: MEDIEVAL TO RENAISSANCE,"4 Units, Lecture, 3 hours; discussion, 1 hour; extra reading, 2 hours. Prerequisite(s): none. Surveys the visual arts of Europe in the Middle Ages and Renaissance. Includes the religious and political functions of art in the reestablishment of high civilization and the increased status of the individual artist. Credit is awarded for only one of AHS 017B or AHS 17HB.",1,1,7
AHS 017C,Undergraduate,202320,"Humanities, Arts, and Soc Sci",Art History,HISTORY OF WESTERN ART: BAROQUE TO MODERN,"4 Units, Lecture, 3 hours; discussion, 1 hour; extra reading, 2 hours. Prerequisite(s): none.  Surveys the visual arts of Europe and America from 1600 through the present. Includes the religious and political roles of art, the rise of secular imagery, the increased role of women in the arts, the impact of popular culture and photography, and other new media in the visual arts. Credit is awarded for only one of AHS 017C or AHS 17HC.",1,1,8
AHS 020 / MCS 023,Undergraduate,202330,"Humanities, Arts, and Soc Sci",Art History,INTRODUCTION TO MEDIA ART,"4 Units, Lecture, 3 hours; discussion, 1 hour. Prerequisite(s): none. An introduction to the impact of media technology on the visual arts from photography to the Internet.  Addresses mechanical reproduction, perception, gender, sexuality, identity, interactivity, cybernetics, and popular culture.     Cross-listed with AHS 020. ",1,1,9
AHS 020 / MCS 023,Undergraduate,202330,"Humanities, Arts, and Soc Sci",Media and Cultural Studies,INTRODUCTION TO MEDIA ART,"4 Units, Lecture, 3 hours; discussion, 1 hour. Prerequisite(s): none. An introduction to the impact of media technology on the visual arts from photography to the Internet.  Addresses mechanical reproduction, perception, gender, sexuality, identity, interactivity, cybernetics, and popular culture.     Cross-listed with AHS 020. ",0,1,10
AHS 021,Undergraduate,202340,"Humanities, Arts, and Soc Sci",Art History,INTRODUCTION TO ARCHITECTURE AND URBANISM,"4 Units, Lecture, 3 hours; discussion, 1 hour. Prerequisite(s): none. An introduction to the built environment including buildings, gardens, and cities, examined in terms of historical, cultural, social, technological, and political factors. Emphasis is on examples from Southern California.  Credit is awarded for one of the following  AHS 021 or AHS 021W.",1,1,11
AHS 021 / URST 021,Undergraduate,202240,"Humanities, Arts, and Soc Sci",Art History,INTRODUCTION TO ARCHITECTURE AND URBANISM,"4 Units, Lecture, 3 hours; discussion, 1 hour. Prerequisite(s): none. An introduction to the built environment including buildings, gardens, and cities, examined in terms of historical, cultural, social, technological, and political factors. Emphasis is on examples from Southern California. Cross-listed with AHS 021.",1,1,12
AHS 021 / URST 021,Undergraduate,202240,"Humanities, Arts, and Soc Sci",Economics,INTRODUCTION TO ARCHITECTURE AND URBANISM,"4 Units, Lecture, 3 hours; discussion, 1 hour. Prerequisite(s): none. An introduction to the built environment including buildings, gardens, and cities, examined in terms of historical, cultural, social, technological, and political factors. Emphasis is on examples from Southern California. Cross-listed with AHS 021.",0,1,13
AHS 023,Undergraduate,202410,"Humanities, Arts, and Soc Sci",Art History,INTRODUCTION TO AMERICAN ART,"4 Units, Lecture, 3 hours; discussion, 1 hour; extra reading, 2 hours. Surveys the art and visual culture of North America (primarily in the United States) from the first European contact to the present. Emphasizes visual representation as means for cultural encounter; the construction of race, class and gender; and the relationship between art, nation, and identity.",1,1,14
AHS 025,Undergraduate,202240,"Humanities, Arts, and Soc Sci",Art History,ART OF MESOAMERICA,"4 Units, Lecture, 3 hours; discussion, 1 hour. Prerequisite(s): None. Surveys the art and architecture of Mesoamerica from the Olmec to the fall of the Aztec capital in 1521. Focuses on empire and trade, religion and astronomy, writing systems and the history the book, and cross-cultural interaction through emphasizing the close analysis of artworks and historical texts.    ",1,1,15
AHS 027 / ANTH 027 / LNST 027,Undergraduate,202240,"Humanities, Arts, and Soc Sci",Art History,ART OF PRE-COLUMBIAN AMERICA,"4 Units, Lecture, 3 hours, outside research, 3 hours. Prerequisite(s): none. A survey course that provides a background to the ancient art of Mexico, Central America, and the Andean region of western South America. Discusses art of pre-Columbian America according to the three broad cultural regions of Mesoamerica, the lower part of central and northwestern South America, and the Andean area.
 Cross-listed with AHS 027, and ANTH 027.",1,1,16
AHS 027 / ANTH 027 / LNST 027,Undergraduate,202240,"Humanities, Arts, and Soc Sci",Anthropology,ART OF PRE-COLUMBIAN AMERICA,"4 Units, Lecture, 3 hours, outside research, 3 hours. Prerequisite(s): none. A survey course that provides a background to the ancient art of Mexico, Central America, and the Andean region of western South America. Discusses art of pre-Columbian America according to the three broad cultural regions of Mesoamerica, the lower part of central and northwestern South America, and the Andean area.
 Cross-listed with AHS 027, and ANTH 027.",0,1,17
